"Firm_plan","Bun_Code","PU_code","Ten_San_Pham","SL_Sheet","SL_Bun_Can_Tach","SL_Bun_Can_Do"
"RPRO-260403-0440","BDB-000076","PVN-004119","OrthoLite X-25 BILLIARD/16-5427TPX Flat Sheet 0.12D 20+/-4 Asker C 1.1M 2M 6.5mm","42","3","2"
"RPRO-260406-1112","BDB-000313","PVN-004061","OrthoLite X-55 RED/19-1764TPX Flat Sheet 0.16D 25+/-4 Asker C 1.1M 1.47M 18mm","14","3","3"
"FPRO-260318-0034","BDB-000052","PVN-003603","OrthoLite X-40 TRUE BLUE/19-4057TPX Flat Sheet 0.16D 25+/-4 Asker C 1.1M 1.47M 12mm","400","35","5"
"FPRO-260330-0019","BDB-000273","PVN-004138","OrthoLite X-40-Hybrid SEEDPEARL/12-0703TPX Hybrid Flat Sheet 0.16D 25+/-4 Asker C 1.1M 2M 5.5mm","1000","40","40"
"RPRO-260406-1106","BDB-000077","PVN-004147","OrthoLite X-25 SEEDPEARL/12-0703TPX Flat Sheet 0.12D 20+/-4 Asker C 1.1M 2M 5.5mm","1025","41","41"
"FPRO-260318-0010","BDB-000113","PVN-002465","OrthoLite Regular-Hybrid SEEDPEARL/12-0703TPX Hybrid Flat Sheet 0.11D 25+/-4 Asker C 1.1M 2M 5mm","2,500","90","282"
"FPRO-260318-0021","BDB-000113","PVN-003414","OrthoLite Regular-Hybrid SEEDPEARL/12-0703TPX Hybrid Flat Sheet 0.11D 25+/-4 Asker C 1.1M 2M 12mm","2,500","218","Đơn cũ w15"
"FPRO-260410-0002","BDB-000386","PVN-004384","OrthoLite Impressions TAWNY PORT/19-1725TPX 0.15D 70-80 Asker F 1.1M 1.7M 3mm","30","1","1"
"FPRO-260330-0021","BDB-000273","PVN-004138","OrthoLite X-40-Hybrid SEEDPEARL/12-0703TPX Hybrid Flat Sheet 0.16D 25+/-4 Asker C 1.1M 2M 5.5mm","400","16","16"
"RPRO-260406-1114","BDB-000324","PVN-004129","OrthoLite X-40 TRUE BLUE/19-4057TPX Flat Sheet 0.16D 25+/-4 Asker C 1.1M 2M 5.5mm","25","1","1"
"RPRO-260409-0292","BDB-000325","PVN-004115","OrthoLite X-40 TRUE BLUE/19-4057TPX Flat Sheet 0.16D 35+/-4 Asker C 1.1M 2M 4mm","35","1","1"
"FPRO-260318-0016","BDB-000051","PVN-003319","OrthoLite X-40 TRUE BLUE/19-4057TPX Flat Sheet 0.16D 25+/-4 Asker C 1.1M 1.7M 12mm","300","27","27"
"RPRO-260409-0289","BDB-000052","PVN-003603","OrthoLite X-40 TRUE BLUE/19-4057TPX Flat Sheet 0.16D 25+/-4 Asker C 1.1M 1.47M 12mm","275","24","24"
"FPRO-260324-0069","BDB-000157","PVN-003573","OrthoLite X-35-Hybrid-Nike SEEDPEARL/12-0703TPX Hybrid 0.145D 25+/-4 Asker C 1.1M 2M 4.2mm","1900","58","58"
"FPRO-260211-0073","BDB-000348","PVN-004195","OrthoLite IMPERIAL SEEDPEARL/12-0703TPX Flat Sheet 0.22D 25+/-4 Asker C 1.1M 1.47M 4mm","3,000","86","56"
